,data/sht38916.sht_20,data/sht38917.sht_20,data/sht38918.sht_20,data/sht38919.sht_20
data/sht38916.sht_20,1.0,0.958035889853744,0.9512808791587943,0.8313756872860223
data/sht38917.sht_20,0.958035889853744,1.0,0.9479051060905098,0.840663646672021
data/sht38918.sht_20,0.9512808791587943,0.9479051060905098,1.0,0.8819583929553966
data/sht38919.sht_20,0.8313756872860223,0.840663646672021,0.8819583929553966,1.0
